area_type,location,total_sqft,size,bath,balcony,price
Super built-up  Area,Jigani,939,2,2,2,39
Plot  Area,Konanakunte,1590,9,6,1,150
Plot  Area,Jalahalli,600,1,1,0,37
Built-up  Area,8th Phase JP Nagar,1298,2,2,1,59
Super built-up  Area,Marathahalli,1710,3,3,2,135
Super built-up  Area,Subramanyapura,1000,2,2,1,45
Super built-up  Area,Ramagondanahalli,3350,3,3,3,150
Plot  Area,Bagalakunte,1200,2,4,1,138
Built-up  Area,RPC layout,1100,2,2,2,68
Super built-up  Area,Jalahalli,615,1,1,1,46
Super built-up  Area,Sarjapur  Road,1350,2,2,1,85
Built-up  Area,Sultan Palaya,5000,4,5,2,325
Super built-up  Area,Cunningham Road,2700,3,3,1,501
Plot  Area,Vijaya Bank Layout,4000,6,6,2,460
Super built-up  Area,Hegde Nagar,1718,3,3,2,130
Super built-up  Area,7th Phase JP Nagar,1680,3,3,2,112
Plot  Area,Hulimavu,1500,2,2,0,90
Super built-up  Area,Sarjapur  Road,1157,3,2,1,72
Super built-up  Area,Akshaya Nagar,1179,2,2,1,51
Super built-up  Area,Hulimavu,1315,2,2,0,60.48
Super built-up  Area,Phase 1 Kammasandra,1105,2,2,2,28.18
Super built-up  Area,Banashankari,1800,3,3,2,175
Super built-up  Area,Jalahalli East,1010,2,2,1,52
Super built-up  Area,Electronic City,630,1,1,1,46
Plot  Area,Anekal,1200,2,2,1,36.1
Super built-up  Area,Kaval Byrasandra,1025,2,2,1,60
Super built-up  Area,Hennur Road,1195,2,2,2,59
Super built-up  Area,Whitefield,1012,2,2,1,58
Super built-up  Area,Hegde Nagar,1884,3,4,2,118
Super built-up  Area,Sarjapura - Attibele Road,1090,2,2,1,37
Super built-up  Area,Kathriguppe,1300,3,3,2,77.99
Super built-up  Area,Amblipura,2950,4,4,2,250
Super built-up  Area,Harlur,1710,3,3,3,85
Super built-up  Area,Uttarahalli,1500,3,3,1,68
Super built-up  Area,Kodichikkanahalli,1310,3,2,2,53
Super built-up  Area,Dommasandra,674,2,1,1,19.9
Built-up  Area,Hoodi,1350,3,3,2,70
Built-up  Area,Hennur Gardens,1464,3,2,2,115
Built-up  Area,Marsur,715,3,2,1,29
Built-up  Area,Electronic City,1400,3,2,1,40.45
Super built-up  Area,Electronic City Phase II,1625,3,2,2,48.75
Built-up  Area,Electronic City,1065,2,2,1,30.76
Plot  Area,Kumaraswami Layout,510,6,4,1,70
Super built-up  Area,HMT Layout,1385,3,3,3,90
Super built-up  Area,CV Raman Nagar,1040,2,2,1,50
Super built-up  Area,Haralur Road,1817,3,3,2,110
Super built-up  Area,Volagerekallahalli,1205,2,2,1,47
Super built-up  Area,Volagerekallahalli,1070,2,2,2,33.43
Super built-up  Area,Kodathi,1070,2,2,1,52
Super built-up  Area,Amruthahalli,1340,2,2,1,75
Super built-up  Area,Kalena Agrahara,980,2,2,2,35
Built-up  Area,8th Phase JP Nagar,1006,2,2,0,44
Super built-up  Area,Thanisandra,1098,2,2,1,71
Built-up  Area,Mico Layout,1200,2,2,1,53.5
Super built-up  Area,Thigalarapalya,4190,4,4,1,325
Super built-up  Area,Sarjapur  Road,1019,2,2,1,62
Super built-up  Area,Whitefield,1150,2,2,2,40.21
Plot  Area,Anekal,1734,3,3,1,120
Super built-up  Area,Yeshwanthpur Industrial Suburb,1415,2,2,2,120
Built-up  Area,"Electronic city Phase 1, ",1750,3,3,2,58
Super built-up  Area,Raja Rajeshwari Nagara,1537,3,3,2,81
Built-up  Area,Chennappa Layout,1050,2,2,2,45
Super built-up  Area,Kanakpura Road,1452,3,3,3,55.6
Super built-up  Area,Domlur,1246,2,2,1,95
Built-up  Area,Yelahanka,1890,3,4,2,85
Super built-up  Area,Electronic City Phase II,972,2,2,1,40
Plot  Area,5th Block Jayanagar,10624,4,4,2,2340
Plot  Area,Brookefield,1500,4,5,3,160
Super built-up  Area,Electronic City,630,1,1,1,33.7
Plot  Area,Kothanur,1050,8,5,0,80
Built-up  Area,Shingapura,1255,3,2,1,60
Plot  Area,Ramamurthy Nagar,1900,4,4,2,185
Plot  Area,Doddaballapur,2440,3,3,1,142
Super built-up  Area,Kanakpura Road,1938,3,3,3,92.69
Super built-up  Area,Bannerghatta Road,1711,3,3,2,125
Plot  Area,Nagarbhavi,1200,5,4,3,240
Super built-up  Area,CV Raman Nagar,1392,2,2,1,95
Super built-up  Area,Haralur Road,1225,2,2,1,77
Super built-up  Area,Sarjapur  Road,3418,4,3,1,235
Super built-up  Area,Green Glen Layout,1750,3,3,2,120
Super built-up  Area,Subramanyapura,1260,3,2,1,80
Super built-up  Area,Sarjapur  Road,691,1,1,1,31.1
Plot  Area,BTM 2nd Stage,2400,4,3,2,400
Super built-up  Area,Haralur Road,1285,2,2,1,78
Built-up  Area,Hebbal,1590,3,3,2,96
Super built-up  Area,9th Phase JP Nagar,1571,3,3,2,65
Built-up  Area,Hebbal Kempapura,2800,5,5,1,220
Super built-up  Area,Garudachar Palya,1060,2,2,1,48.66
Super built-up  Area,Hennur,1255,2,2,1,58
Plot  Area,Govindapura,702,4,4,0,65
Plot  Area,Lal Bahadur Shastri Nagar,2400,3,2,2,185
Super built-up  Area,Bannerghatta Road,1520,3,2,3,81
Super built-up  Area,Kanakpura Road,1530,3,2,1,70.99
Super built-up  Area,Gollahalli,1170,2,2,1,45.51
Super built-up  Area,OMBR Layout,1580,3,3,2,75
Super built-up  Area,Ardendale,1777,3,3,2,89
Super built-up  Area,Raja Rajeshwari Nagar,1303,2,2,2,55.78
Built-up  Area,Kodichikkanahalli,1680,2,2,3,59
Built-up  Area,Whitefield,1495,3,2,1,70
Super built-up  Area,Yelahanka,1835,3,3,1,108
Plot  Area,Banjara Layout,610,3,3,1,60
Built-up  Area,Nagawara Junction,1080,2,2,2,38
Built-up  Area,Electronic City,1025,2,2,1,29.61
Super built-up  Area,Haralur Road,1225,2,2,1,67.48
Super built-up  Area,Balagere,656,1,1,1,34.77
Super built-up  Area,Sarjapur  Road,994,2,2,2,45
Super built-up  Area,Thirupalya,1025,2,2,1,65
Built-up  Area,Marathahalli,1156,2,2,2,52
Super built-up  Area,JP Nagar,1250,2,2,2,60
Built-up  Area,Kundalahalli,3092,4,4,3,230
Super built-up  Area,Hegde Nagar,1930,3,4,2,122
Built-up  Area,New Thippasandra,1020,2,2,1,70
Built-up  Area,Kumaraswami Layout,1310,3,2,1,70
Super built-up  Area,Jalahalli,613,1,1,0,27.565
Built-up  Area,Kanakpura Road,1322,2,2,3,70
Super built-up  Area,Kothanur,1160,2,2,2,57
Super built-up  Area,5th Block Hbr Layout,1100,2,2,2,48
Built-up  Area,Lakshminarayana Pura,1720,3,3,3,150
Super built-up  Area,Hosur Road,1689,3,3,2,103
Super built-up  Area,Chikkalasandra,1090,2,2,1,47.42
Super built-up  Area,KR Puram,2000,2,2,0,75
Super built-up  Area,Venugopal Reddy Layout,1155,2,2,2,69
Built-up  Area,Vishveshwarya Layout,4000,6,6,0,230
Built-up  Area,Sarjapur  Road,3913,4,5,0,176
Super built-up  Area,Hebbal,3520,3,5,2,320
Super built-up  Area,JP Nagar,1125,2,2,2,39.98
Built-up  Area,Yelahanka,1847,3,3,3,92
Super built-up  Area,7th Phase JP Nagar,1515,3,2,1,76
Plot  Area,Raja Rajeshwari Nagar,3450,8,7,2,225
Plot  Area,Yelahanka,2500,5,3,1,120
Built-up  Area,Sarjapur  Road,1130,2,2,2,55
Super built-up  Area,Bellandur,1049,2,2,1,51
Super built-up  Area,Amruthahalli,2650,3,4,0,175
Super built-up  Area,Varthur Road,850,2,2,1,25.4
Super built-up  Area,Badavala Nagar,1842,3,3,2,115
Plot  Area,Govindaraja Nagar Ward,2600,5,5,3,370
Super built-up  Area,Jakkur,1282,2,2,1,72
Super built-up  Area,Kalena Agrahara,800,2,2,1,40
Plot  Area,Gidada Konnenahalli,1200,4,4,2,240
Super built-up  Area,Chandapura,1190,3,2,2,30.35
Super built-up  Area,Magadi Road,1318,3,2,1,68
Super built-up  Area,Kanakpura Road,1698,2,2,1,105
Super built-up  Area,Jayanagar,2030,3,2,1,182
Super built-up  Area,Kammasandra,1276,3,2,1,31.9
Super built-up  Area,Shikaripalya,1555,3,2,1,67
Super built-up  Area,Sarjapur  Road,1881,3,3,2,145
Super built-up  Area,frazertown,2900,3,3,2,325
Super built-up  Area,Yelahanka,1890,3,3,2,109
Super built-up  Area,M V Extenstion,900,5,5,1,135
Super built-up  Area,Old Madras Road,935,2,2,1,32
Super built-up  Area,Cox Town,1000,2,2,3,58
Super built-up  Area,Singasandra,1510,3,3,2,75
Built-up  Area,Uttarahalli,1120,2,2,1,50
Super built-up  Area,Ananth Nagar,930,2,2,1,25.99
Super built-up  Area,Electronic City,1160,3,2,2,42
Super built-up  Area,Raja Rajeshwari Nagar,1419,2,2,2,48.1
Super built-up  Area,Talaghattapura,1175,2,2,2,62
Built-up  Area,Bellandur,1350,3,2,1,63
Super built-up  Area,Malleshwaram,2215,3,3,2,330
Super built-up  Area,Attibele,996,2,2,1,24.9
Super built-up  Area,Anjanapura,1076,2,2,1,30.13
Super built-up  Area,Off Bannergatta road,2180,4,4,3,115
Super built-up  Area,Kasavanhalli,1715,3,3,3,112
Super built-up  Area,Hebbal,1072,2,2,2,45
Super built-up  Area,Panathur,1230,2,2,1,80
Super built-up  Area,Murugeshpalya,1600,3,2,1,65
Super built-up  Area,Thanisandra,1411,3,3,1,93.25
Built-up  Area,Rayasandra,3600,5,5,3,145
Super built-up  Area,Jalahalli,2404,3,3,2,138
Plot  Area,Sahakara Nagar,1200,4,4,1,190
Plot  Area,Nagarbhavi,1200,3,3,2,226
Built-up  Area,Doddathoguru,1208,3,3,1,45
Plot  Area,Yeshwanthpur,1700,5,5,2,300
Super built-up  Area,Haralur Road,1225,2,2,1,69.84
Super built-up  Area,Hebbal,1162,2,2,1,69
Super built-up  Area,Thanisandra,1262,3,2,1,65
Super built-up  Area,Konanakunte Cross,1050,2,2,2,35
Built-up  Area,Electronic City Phase II,1160,2,2,1,33.51
Plot  Area,Channasandra,1500,3,3,1,61.95
Super built-up  Area,Vaderahalli,1610,3,3,3,85
Super built-up  Area,Whitefield,1340,2,2,2,41
Super built-up  Area,Sarjapur  Road,2275,3,4,2,182
Super built-up  Area,Budigere,1162,2,2,1,58
Built-up  Area,Manorayana Palya,1500,2,2,0,145
Plot  Area,Hiremath Layout,3150,4,3,1,135
Super built-up  Area,Hosa Road,1170,2,2,2,65
Super built-up  Area,Sarjapur  Road,980,2,2,1,25
Built-up  Area,Channasandra,1800,3,3,2,60
Super built-up  Area,Banashankari Stage VI,1423,3,2,1,71.73
Super built-up  Area,Kaggadasapura,1106,2,2,3,40
Built-up  Area,Kereguddadahalli,1105,2,2,2,27.6
Plot  Area,Cunningham Road,7500,4,6,2,1800
Super built-up  Area,Tirumanahalli,1255,2,2,1,56.7
Super built-up  Area,Sarjapur  Road,1525,3,2,2,65
Super built-up  Area,Babusapalaya,1061,2,2,1,38.95
Plot  Area,Hoskote near,600,2,2,2,29.5
Super built-up  Area,Electronic City Phase II,1400,3,2,2,40.45
Super built-up  Area,Domlur,2100,3,3,2,145
Super built-up  Area,Electronic City,660,2,1,1,16.5
Built-up  Area,Kengeri,633,2,1,1,18
Super built-up  Area,Indira Nagar,1260,2,2,3,120
Super built-up  Area,ITPL,907,2,2,0,55.43
Super built-up  Area,Hennur Road,2047,3,3,2,67.55
Built-up  Area,"Haralur Road, ",2597,4,4,3,189
Built-up  Area,Bellandur,1211,2,2,1,63
Super built-up  Area,Hennur Road,1904,3,3,2,129
Super built-up  Area,Balagere,1205,2,2,1,73.87
Super built-up  Area,Yeshwanthpur,1164,2,2,2,64.08
Super built-up  Area,Mahaganapathy Nagar,1410,2,2,2,73
Built-up  Area,Green View Layout,1150,2,2,1,42
Super built-up  Area,Udayapur Village,1170,2,2,2,53.11
Built-up  Area,Hennur,1420,2,2,1,62
Super built-up  Area,Panathur,1125,2,2,2,45
Built-up  Area,NRI Layout,1789,3,3,3,75
Super built-up  Area,Hulimavu,1021,2,2,1,76
Super built-up  Area,Ananth Nagar,1074,2,2,2,26.85
Super built-up  Area,Kalena Agrahara,1222,2,2,3,48
Super built-up  Area,Hennur Road,1981,3,3,1,134
Built-up  Area,Yelachenahalli,1103,2,2,2,55
Super built-up  Area,Adugodi,1201,2,2,1,65
Super built-up  Area,Sarjapur  Road,970,2,2,1,36
Super built-up  Area,Sarjapur,920,2,2,2,33
Super built-up  Area,Yeshwanthpur,1520,3,3,3,85
Plot  Area,Chikkathoguru,675,3,3,2,75
Super built-up  Area,Sonnenahalli,1268,3,2,1,75
Super built-up  Area,Thippasandra,660,1,1,0,30
Super built-up  Area,Harlur,1755,3,3,2,115
Super built-up  Area,Hoskote,945,2,2,1,35
Carpet  Area,8th Phase JP Nagar,500,1,1,1,33
Super built-up  Area,Harlur,2820,4,4,0,153.5
Built-up  Area,Bommenahalli,1632,4,3,0,140
Super built-up  Area,Rachenahalli,1167,2,2,2,37.5
Super built-up  Area,Domlur,1276,2,2,2,80
Built-up  Area,Thanisandra,1234,2,2,2,51
Super built-up  Area,Lakshminarayana Pura,1180,2,2,1,75
Super built-up  Area,ISRO Layout,1370,3,2,2,87
Super built-up  Area,Chandapura,1015,2,2,2,25.88
Plot  Area,RK Colony,1200,9,9,3,230
Built-up  Area,Electronic City,1400,3,3,1,90
Plot  Area,Whitefield,1500,5,6,3,155
Plot  Area,Bagalakunte,1050,2,2,0,40
Super built-up  Area,Ramagondanahalli,1251,2,2,1,46
Super built-up  Area,Yeshwanthpur,1677,3,3,1,92.13
Super built-up  Area,Sarjapur  Road,1346,2,2,1,67.38
Built-up  Area,Electronic City Phase II,1090,2,2,1,31.48
Plot  Area,2nd Stage Nagarbhavi,1200,5,4,3,240
Super built-up  Area,Kanakapura,1290,3,2,3,51.1
Super built-up  Area,Rajaji Nagar,7514,5,7,1,1500
Super built-up  Area,Sarjapur  Road,1881,3,3,2,145
Super built-up  Area,Garudachar Palya,1150,2,2,2,52
Plot  Area,2 Bedroom Furnished Farm House in Kolar Road,#VALUE!,2,2,2,200
Built-up  Area,Sarjapur,2690,3,3,2,295
Super built-up  Area,Kanakpura Road,1200,3,2,2,42
Super built-up  Area,Rajapura,#VALUE!,2,2,2,40
Super built-up  Area,Dairy Circle,2735,3,4,2,340
Built-up  Area,Austin Town,950,2,2,0,65
Built-up  Area,Bommasandra Industrial Area,1491,3,3,3,40.5
Super built-up  Area,Ramamurthy Nagar,1050,2,2,1,51.66
Super built-up  Area,Hoodi,1660,3,3,2,131
Super built-up  Area,Nagavarapalya,1134,2,2,2,55
Built-up  Area,Hebbal,1100,2,2,1,60
Plot  Area,Magadi Road,800,4,4,1,60
Plot  Area,Anekal,1200,2,2,1,36.1
Plot  Area,Nagarbhavi,1200,4,4,3,240
Plot  Area,kg halli jalhalli west,980,3,3,1,80
Super built-up  Area,Vasatha Vallbha Nagar,1080,2,2,1,37.8
Super built-up  Area,CV Raman Nagar,705,1,2,1,50
Super built-up  Area,BAGUR ROAD,1200,3,2,2,35
Super built-up  Area,Anandapura,1200,2,2,1,50
Super built-up  Area,Talaghattapura,1804,3,3,2,127
Built-up  Area,Sidedahalli,750,2,2,0,20
Super built-up  Area,Shanti Nagar,420,2,1,1,25
Built-up  Area,Malleshwaram,2800,4,4,2,252
Super built-up  Area,Battarahalli,1090,2,2,2,38.37
Plot  Area,R.T. Nagar,1500,2,2,0,230
Built-up  Area,Electronic City,1287,3,3,1,55
Super built-up  Area,Thigalarapalya,2215,3,4,2,157
Plot  Area,Kadubeesanahalli,2800,4,4,1,375
Built-up  Area,Sarjapur  Road,1045,2,2,2,42.15
Super built-up  Area,Hormavu,1263,2,2,1,47.36
Super built-up  Area,Whitefield,1431,3,3,2,85
Super built-up  Area,Dommasandra,999,2,2,2,32.9
Super built-up  Area,Vittasandra,1650,3,3,2,85.5
Super built-up  Area,Lavakusha Nagar,1535,3,3,1,72
Super built-up  Area,Marathahalli,2524,4,5,2,180
Super built-up  Area,Kanakpura Road,1300,3,3,2,69
Plot  Area,1st Block HRBR Layout,600,3,3,2,125
Super built-up  Area,7th Phase JP Nagar,2095,3,3,2,150
Super built-up  Area,Yelahanka New Town,284,1,1,1,8
Super built-up  Area,Ananth Nagar,500,1,1,1,14
Super built-up  Area,Nallurhalli,1265,2,2,2,68
Super built-up  Area,Kudlu Gate,1215,2,2,1,44.96
Plot  Area,Yelahanka New Town,2200,2,2,0,180
Built-up  Area,Electronics City Phase 1,1028,2,2,1,51
Super built-up  Area,Hegde Nagar,1835,3,2,1,92
Super built-up  Area,Munnekollal,1800,3,3,3,65
Super built-up  Area,1st Phase JP Nagar,2077,3,3,3,175
Plot  Area,Sarjapur  Road,2880,4,3,2,211
Built-up  Area,Balepet,499,6,5,0,89
Super built-up  Area,Dasanapura,708,2,2,1,31.15
Super built-up  Area,Basavangudi,1200,2,2,3,120
Built-up  Area,Hosakerehalli,925,2,2,1,46.25
Built-up  Area,Bannerghatta Road,2826,3,3,1,148
Carpet  Area,Kanakpura Road,458,1,1,0,33.66
Built-up  Area,Annasandrapalya,3500,4,4,0,150
Plot  Area,Bileshivale,5400,4,4,1,250
Plot  Area,9th Block Jayanagar,1000,4,5,2,200
Built-up  Area,Amruthahalli,1450,3,2,1,90
Super built-up  Area,Kasavanhalli,1100,2,2,1,65
Super built-up  Area,Kadubeesanahalli,1185,2,2,3,55
Built-up  Area,9th Phase JP Nagar,1900,4,4,2,80
Plot  Area,TC Palaya,1200,2,2,1,70
Super built-up  Area,Shettigere,660,1,1,1,35
Super built-up  Area,Ambedkar Nagar,1920,3,4,2,121
Plot  Area,Jalahalli,1200,2,2,0,130
Built-up  Area,Sarjapur  Road,3418,4,2,1,222
Super built-up  Area,1st Phase JP Nagar,4550,4,2,1,240
Super built-up  Area,Bhoganhalli,1205,2,2,1,68.32
Super built-up  Area,Haralur Road,1200,2,2,2,46
Super built-up  Area,Akshaya Nagar,1421,3,2,2,73
Super built-up  Area,6th Phase JP Nagar,1250,3,3,3,48.9
Super built-up  Area,Whitefield,524,1,1,1,29
Built-up  Area,HSR Layout,4200,5,5,1,245
Super built-up  Area,Thubarahalli,1540,3,3,1,90
Super built-up  Area,Sarjapur  Road,984,2,2,1,45.91
Super built-up  Area,Rachenahalli,985,2,2,1,50.17
Built-up  Area,Whitefield,2830,4,4,3,161
Super built-up  Area,Byrasandra,1140,2,2,3,60
Built-up  Area,5th Block Hbr Layout,3600,5,5,3,130
Super built-up  Area,Begur Road,1410,3,2,3,44.42
Super built-up  Area,Raja Rajeshwari Nagar,1700,3,2,2,86
Super built-up  Area,Devanahalli,1360,2,2,0,62.425
Plot  Area,Electronic City,1800,4,3,2,700
Super built-up  Area,Dasarahalli,1333,2,2,1,86.65
Super built-up  Area,Electronic City,1258,2,2,1,85.5
Super built-up  Area,Dodda Nekkundi Extension,1458,3,2,2,87
Built-up  Area,Electronic City,1386,2,2,1,85
Built-up  Area,Electronic City Phase II,1140,2,2,1,32.92
Built-up  Area, Electronic City,550,1,1,1,27
Super built-up  Area,Lakshminarayana Pura,1200,2,2,3,83
Super built-up  Area,Belathur,1081,2,2,1,39
Super built-up  Area,Whitefield,2135,4,3,2,149
Built-up  Area,Whitefield,2500,4,4,0,100
Super built-up  Area,Pampa Extension,1178,2,2,1,80
Super built-up  Area, Devarachikkanahalli,991,2,2,2,40
Super built-up  Area,Gottigere,1493,3,2,3,90
Super built-up  Area,Subramanyapura,2495,3,3,3,130
Super built-up  Area,Kammasandra,1080,2,2,1,31.99
Super built-up  Area,Dasanapura,814,2,2,1,53
Super built-up  Area,Electronic City,1025,2,2,1,50
Super built-up  Area,Bannerghatta Road,1115,2,2,1,61
Super built-up  Area,Whitefield,3075,4,2,3,188
Plot  Area,RMC YARD,1900,7,3,0,162
Super built-up  Area,Whitefield,1760,3,3,2,160
Super built-up  Area,Attur Layout,4000,7,8,1,150
Built-up  Area,Marathahalli,3090,4,4,1,350
Built-up  Area,Varsova Layout,2700,4,4,3,295
Super built-up  Area,Hanumanth Nagar,1175,2,2,2,52.86
Super built-up  Area,Hebbal,4235,4,5,3,364
Super built-up  Area,KR Puram,1100,2,2,2,45
Plot  Area,Banashankari Stage VI,1200,8,7,1,175
Super built-up  Area,Banashankari,1450,2,2,2,50.75
Super built-up  Area,6th Phase JP Nagar,1810,3,3,3,131
Super built-up  Area,Gunjur Palya,1426,3,2,3,71
Built-up  Area,Sector 7 HSR Layout,2400,3,2,3,195
Built-up  Area,Kalyan nagar,1100,2,2,1,70
Super built-up  Area,Electronic City Phase II,650,1,1,1,35
Super built-up  Area,Old Madras Road,1350,3,3,2,47.25
Super built-up  Area,Kaikondrahalli,900,2,2,1,27
Super built-up  Area,Billekahalli,1360,2,2,3,110
Super built-up  Area,Yeshwanthpur,674,1,1,1,36.85
Super built-up  Area,Whitefield,1655,3,3,2,110
Plot  Area,Cholanayakanahalli,1300,2,2,2,95
Built-up  Area,"Panathur Road, ",936,1,1,0,53
Super built-up  Area,Kaverappa Layout,1277,2,2,2,92
Super built-up  Area,Gkvk Layout,1200,2,2,1,54
Super built-up  Area,Hormavu,1015,2,2,1,39.08
Super built-up  Area,Budigere,1153,2,2,2,60
Super built-up  Area,Kengeri,1035,2,2,1,51.5
Built-up  Area,KR Puram,3300,5,3,1,255
Super built-up  Area,Uttarahalli,1150,2,2,1,46
Super built-up  Area,Malleshwaram,1020,2,2,1,80
Super built-up  Area,Old Madras Road,3715,4,6,0,212.5
Super built-up  Area,8th Phase JP Nagar,1160,2,2,1,95
Super built-up  Area,Bisuvanahalli,1075,3,2,1,31
Built-up  Area,Brookefield,1225,2,2,2,72
Plot  Area,Benson Town,5000,4,5,3,950
Plot  Area,Vivek Nagar,1600,2,2,1,160
Plot  Area,Malleshwaram,600,2,1,0,90
Built-up  Area,Nagappa Reddy Layout,1350,3,3,2,60
Super built-up  Area,Kanakpura Road,1300,3,3,1,69
Super built-up  Area,Channasandra,830,2,2,1,36.28
Super built-up  Area,Hennur Road,1155,2,2,1,69.18
Super built-up  Area,Sarakki Nagar,3126,4,5,3,345
Super built-up  Area,Jalahalli,905,2,2,2,55
Super built-up  Area,Vijayanagar,1375,3,2,0,75
Plot  Area,Rajankunte,1575,2,2,1,31.11
Super built-up  Area,Electronic City,1140,2,2,2,33.84
Super built-up  Area,Hormavu,1550,3,2,2,60
Super built-up  Area,Kannamangala,957,2,2,1,55
Built-up  Area,9th Phase JP Nagar,890,2,2,2,45
Super built-up  Area,KR Puram,3000,4,4,2,235
Super built-up  Area,Electronic City,1070,2,2,1,55
Plot  Area,Bendiganahalli,2400,5,5,1,150
Plot  Area,Domlur Layout,2400,4,4,2,595
Super built-up  Area,Rachenahalli,925,2,2,1,37
Built-up  Area,Kammasandra,1415,2,2,2,60
Plot  Area,Mylasandra,500,1,2,0,80
Super built-up  Area,Thanisandra,1225,2,2,1,37
Built-up  Area,Hennur Road,2000,4,4,0,90
Super built-up  Area,Whitefield,840,1,1,1,57
Plot  Area,Banashankari Stage III,1560,9,9,1,200
Super built-up  Area,Thanisandra,1732,3,3,1,112
Plot  Area,Parappana Agrahara,1200,1,1,0,45
Super built-up  Area,Bhoganhalli,1260,2,2,1,69.9
Super built-up  Area,Doddanakundi Industrial Area 2,1092,2,2,1,49
Super built-up  Area,Kachanayakanahalli,827,2,2,0,34
Super built-up  Area,Horamavu Banaswadi,1357,2,2,2,54
Super built-up  Area,Chamrajpet,650,2,1,1,40
Super built-up  Area,7th Phase JP Nagar,1370,3,2,1,54.79
Super built-up  Area,Whitefield,1725,3,3,2,106
Built-up  Area,Jalahalli,1000,2,2,0,70
Plot  Area,TC Palaya,1350,1,1,0,55
Plot  Area,7th Phase JP Nagar,3200,4,4,2,350
Super built-up  Area,Bellandur,1717,3,3,2,110
Super built-up  Area,Kanakpura Road,700,2,2,1,34
Super built-up  Area,Shanthi Pura,800,2,2,1,32
Super built-up  Area,Rajaji Nagar,2367,3,4,3,340
Super built-up  Area,Sonnenahalli,1415,3,2,1,65
Super built-up  Area,7th Phase JP Nagar,1976,3,3,1,145
Super built-up  Area,Kambipura,883,2,2,1,37.01
Super built-up  Area,Yelahanka,700,1,1,1,38
Super built-up  Area,Sarjapur,1445,3,3,1,50
Super built-up  Area,Battarahalli,2082,3,3,2,104
Super built-up  Area,HSR Layout,1140,2,2,2,46
Super built-up  Area,Thanisandra,933,2,2,1,66
Plot  Area,NRI Layout,800,4,5,1,95.5
Built-up  Area,Electronic City Phase II,1155,2,2,1,57
Super built-up  Area,Whitefield,1130,2,2,1,36
Super built-up  Area,Bannerghatta,1200,2,2,2,73.2
Super built-up  Area,Basaveshwara Nagar Yelahanka,1055,2,2,1,43
Super built-up  Area,Rajaji Nagar,1555,3,3,2,125
Super built-up  Area,Bellandur,1420,3,3,2,62
Super built-up  Area,Viviani Road,2214,3,3,2,350
Super built-up  Area,Devanahalli,658,1,1,1,26.91
Carpet  Area,Bhoganhalli,897,2,2,1,78.74
Plot  Area,Giri Nagar,4000,4,3,2,750
Built-up  Area,KR Puram,1035,2,2,2,40
Plot  Area,Whitefield,2064,4,5,2,225
Super built-up  Area,Keshava Nagar,1839,3,3,3,160
Super built-up  Area,Begur Road,1200,2,2,2,44
Built-up  Area,Yelahanka New Town,488,1,1,1,20
Built-up  Area,Banashankari Stage II,1200,3,2,1,198
Built-up  Area,Sampangirama Nagar,2760,5,5,1,140
Super built-up  Area,Gunjur Palya,993,2,2,2,42
Super built-up  Area,Hoodi,1225,2,2,1,45
Plot  Area,TC Palaya,900,2,2,0,55
Plot  Area,Electronic City,1200,9,13,1,150
Built-up  Area,Sompura,825,2,2,1,32
Super built-up  Area,Bellandur,3596,4,4,2,359
Plot  Area,Hosahalli Extension,1350,6,4,1,203
Super built-up  Area,Electronic City Phase II,1800,3,3,3,92
Super built-up  Area,Shankarapuram,925,2,2,1,100
Super built-up  Area,Kanakpura Road,1167,2,2,1,63
Super built-up  Area,Sarjapur,1150,2,2,1,41
Super built-up  Area,Byatarayanapura,650,1,1,1,50
Built-up  Area,Sarjapur  Road,675,1,1,1,27
Plot  Area,Doctor Layout Rayasandra,2260,2,3,1,90
Super built-up  Area,Anwar Layout,720,1,1,0,32.39
Plot  Area,Whitefield,4800,3,4,2,600
Super built-up  Area,Yelahanka New Town,1100,2,2,1,58
Super built-up  Area,Pillanna Gardens,550,2,1,1,20
Super built-up  Area,Uttarahalli,1330,3,2,1,58
Super built-up  Area,Koramangala,1320,2,2,1,160
Super built-up  Area,Ulsoor,1685,3,4,2,185
Super built-up  Area,Ullal Uppanagar,2400,6,5,2,75
Super built-up  Area,Banashankari,1770,3,3,3,108
Super built-up  Area,Prithvi Layout,2100,3,3,3,125
Super built-up  Area,Pai Layout,1000,2,2,3,42
Plot  Area,Banashankari Stage VI,600,4,5,1,105
Plot  Area,Ramamurthy Nagar,2916,4,5,1,230
Super built-up  Area,Kanakpura Road,1420,3,2,1,65
Super built-up  Area,Kodihalli,1400,3,3,1,81
Built-up  Area,Horamavu Agara,750,2,2,1,37.49
Super built-up  Area,Bannerghatta,1070,2,2,1,87
Super built-up  Area,Kannamangala,1536,3,3,1,107
Built-up  Area,Koramangala,1710,3,3,2,210
Carpet  Area,JP Nagar,2400,3,3,3,196
Super built-up  Area,Sarjapur  Road,1774,3,2,1,102.92
Super built-up  Area,Electronic City,1342,2,2,1,72
Super built-up  Area,Chandra Layout,1600,3,3,2,130
Super built-up  Area,Kanakapura,938,1,1,1,50
Super built-up  Area,Budigere,1820,3,3,2,99
Super built-up  Area,Bhoganhalli,2439,4,4,3,170
Super built-up  Area,Kanakpura Road,1665,3,3,2,78
Super built-up  Area,Basavangudi,1850,3,3,2,150
